Data,Último,Var%
02/01/17,25.03,-1.96%
03/01/17,26.18,4.59%
04/01/17,26.04,-0.53%
05/01/17,25.98,-0.23%
06/01/17,26.26,1.08%
09/01/17,25.27,-3.77%
10/01/17,25.62,1.39%
11/01/17,25.89,1.05%
12/01/17,26.54,2.51%
13/01/17,25.85,-2.60%
16/01/17,25.87,0.08%
17/01/17,26.29,1.62%
18/01/17,26.07,-0.84%
19/01/17,26.1,0.12%
20/01/17,26.68,2.22%
23/01/17,27.89,4.54%
24/01/17,27.36,-1.90%
26/01/17,29.09,6.32%
27/01/17,28.53,-1.93%
30/01/17,27.74,-2.77%
31/01/17,28.28,1.95%
01/02/17,28.42,0.50%
02/02/17,28.15,-0.95%
03/02/17,28.08,-0.25%
06/02/17,27.38,-2.49%
07/02/17,27.63,0.91%
08/02/17,27.92,1.05%
09/02/17,27.83,-0.32%
10/02/17,28.34,1.83%
13/02/17,28.52,0.64%
14/02/17,28.62,0.35%
15/02/17,28.96,1.19%
16/02/17,29.9,3.25%
17/02/17,29.92,0.07%
20/02/17,30.4,1.60%
21/02/17,30.91,1.68%
22/02/17,30.99,0.26%
23/02/17,30.32,-2.16%
24/02/17,30.09,-0.76%
01/03/17,30.54,1.50%
02/03/17,30.26,-0.92%
03/03/17,31.73,4.86%
06/03/17,31.98,0.79%
07/03/17,31.59,-1.22%
08/03/17,30.85,-2.34%
09/03/17,30.53,-1.04%
10/03/17,30.65,0.39%
13/03/17,30.97,1.04%
14/03/17,30.91,-0.19%
15/03/17,31.17,0.84%
16/03/17,30.75,-1.35%
17/03/17,29.91,-2.73%
20/03/17,29.86,-0.17%
21/03/17,29.14,-2.41%
22/03/17,30.13,3.40%
23/03/17,30.13,0.00%
24/03/17,30.27,0.46%
27/03/17,30.37,0.33%
28/03/17,30.17,-0.66%
29/03/17,31.27,3.65%
30/03/17,31.06,-0.67%
31/03/17,30.79,-0.87%
03/04/17,30.88,0.29%
04/04/17,31,0.39%
05/04/17,30.47,-1.71%
06/04/17,29.76,-2.33%
07/04/17,29.63,-0.44%
10/04/17,29.89,0.88%
11/04/17,29.92,0.10%
12/04/17,29.43,-1.64%
13/04/17,27.9,-5.20%
17/04/17,29.19,4.62%
18/04/17,29.47,0.96%
19/04/17,28.4,-3.63%
20/04/17,28.62,0.77%
24/04/17,29.45,2.90%
25/04/17,29.63,0.61%
26/04/17,29.27,-1.21%
27/04/17,29.68,1.40%
28/04/17,29.95,0.91%
02/05/17,30.89,3.14%
03/05/17,30.79,-0.32%
04/05/17,29.5,-4.19%
05/05/17,30.18,2.31%
08/05/17,29.43,-2.49%
09/05/17,29.54,0.37%
10/05/17,30.4,2.91%
11/05/17,31.35,3.13%
12/05/17,32.26,2.90%
15/05/17,31.68,-1.80%
16/05/17,31.68,0.00%
17/05/17,30.82,-2.71%
18/05/17,24.69,-19.89%
19/05/17,25.51,3.32%
22/05/17,24.32,-4.66%
23/05/17,24.89,2.34%
24/05/17,25.33,1.77%
25/05/17,25.44,0.43%
26/05/17,26.49,4.13%
29/05/17,26.31,-0.68%
30/05/17,26.62,1.18%
31/05/17,26.01,-2.29%
01/06/17,25.74,-1.04%
02/06/17,25.77,0.12%
05/06/17,25.25,-2.02%
06/06/17,25.98,2.89%
07/06/17,26.29,1.19%
08/06/17,25.89,-1.52%
09/06/17,25.47,-1.62%
12/06/17,24.87,-2.36%
13/06/17,25.14,1.09%
14/06/17,25.13,-0.04%
16/06/17,25.22,0.36%
19/06/17,24.89,-1.31%
20/06/17,23.86,-4.14%
21/06/17,23.73,-0.54%
22/06/17,23.86,0.55%
23/06/17,23.38,-2.01%
26/06/17,24.75,5.86%
27/06/17,23.95,-3.23%
28/06/17,24.22,1.13%
29/06/17,24.37,0.62%
30/06/17,24.59,0.90%
03/07/17,24.93,1.38%
04/07/17,25.06,0.52%
05/07/17,24.93,-0.52%
06/07/17,24.77,-0.64%
07/07/17,24.44,-1.33%
10/07/17,24.69,1.02%
11/07/17,25.73,4.21%
12/07/17,26.46,2.84%
13/07/17,26.7,0.91%
14/07/17,26.99,1.09%
17/07/17,26.85,-0.52%
18/07/17,26.87,0.07%
19/07/17,26.96,0.33%
20/07/17,27.2,0.89%
21/07/17,26.99,-0.77%
24/07/17,26.68,-1.15%
25/07/17,27.12,1.65%
26/07/17,26.46,-2.43%
27/07/17,26.23,-0.87%
28/07/17,26.21,-0.08%
31/07/17,26.34,0.50%
01/08/17,26.89,2.09%
02/08/17,27.97,4.02%
03/08/17,28.15,0.64%
04/08/17,28.33,0.64%
07/08/17,28.77,1.55%
08/08/17,28.77,0.00%
09/08/17,28.23,-1.88%
10/08/17,28.37,0.50%
11/08/17,28.35,-0.07%
14/08/17,28.53,0.63%
15/08/17,28.39,-0.49%
16/08/17,28.16,-0.81%
17/08/17,27.67,-1.74%
18/08/17,27.91,0.87%
21/08/17,28.28,1.33%
22/08/17,29.55,4.49%
23/08/17,29.57,0.07%
24/08/17,29.67,0.34%
25/08/17,29.56,-0.37%
28/08/17,29.28,-0.95%
29/08/17,29.08,-0.68%
30/08/17,28.79,-1.00%
31/08/17,28.36,-1.49%
01/09/17,29.45,3.84%
04/09/17,29.41,-0.14%
05/09/17,29.56,0.51%
06/09/17,30.26,2.37%
08/09/17,30.17,-0.30%
11/09/17,31.25,3.58%
12/09/17,30.9,-1.12%
13/09/17,31.09,0.61%
14/09/17,31.12,0.10%
15/09/17,31.58,1.48%
18/09/17,32.01,1.36%
19/09/17,31.97,-0.12%
20/09/17,32.18,0.66%
21/09/17,32.88,2.18%
22/09/17,32.68,-0.61%
25/09/17,31.76,-2.82%
26/09/17,31.94,0.57%
27/09/17,31.78,-0.50%
28/09/17,31.51,-0.85%
29/09/17,31.85,1.08%
02/10/17,31.9,0.16%
03/10/17,33.19,4.04%
04/10/17,33.04,-0.45%
05/10/17,33.58,1.63%
06/10/17,33.77,0.57%
09/10/17,33.39,-1.13%
10/10/17,34.1,2.13%
11/10/17,34.13,0.09%
13/10/17,34.15,0.06%
16/10/17,34.22,0.20%
17/10/17,34.28,0.18%
