Data,Último,Var%
01/02/17,62.71,0.51%
01/02/18,82.55,0.67%
01/02/19,94.36,0.38%
01/03/17,64.83,0.51%
01/03/18,82.52,0.02%
01/03/19,91.08,-0.84%
01/04/19,92.35,0.59%
01/04/20,68.18,-1.69%
01/06/17,60.26,-0.50%
01/06/18,74.62,0.74%
01/06/20,85.33,1.40%
01/07/19,97.45,0.35%
01/07/20,92.68,1.16%
01/08/17,64.23,0.80%
01/08/18,76.46,0.01%
01/08/19,98.43,0.46%
01/09/17,69.51,1.61%
01/10/18,75.8,-1.06%
01/10/19,100.06,-0.94%
01/11/17,71.27,-0.70%
01/11/18,85.25,1.39%
01/11/19,104.27,1.01%
01/12/17,69.67,0.39%
02/01/17,57.63,-1.05%
02/01/18,75.1,1.73%
02/01/19,87.9,3.90%
02/01/20,114.24,2.71%
02/02/17,62.65,-0.10%
02/02/18,81.24,-1.59%
02/03/17,63.5,-2.05%
02/03/18,82.95,0.52%
02/03/20,102.99,2.38%
02/04/18,81.85,-0.70%
02/04/19,91.83,-0.56%
02/04/20,69.63,2.13%
02/05/17,64.56,2.17%
02/05/18,81.71,-1.77%
02/05/19,92.08,-0.86%
02/06/17,60.35,0.15%
02/06/20,87.78,2.87%
02/07/18,70.3,-0.07%
02/07/19,96.77,-0.70%
02/07/20,92.5,-0.19%
02/08/17,64.92,1.07%
02/08/18,76.95,0.64%
02/08/19,98.78,0.36%
02/09/19,96.76,-0.87%
02/10/17,71.82,0.34%
02/10/18,78.78,3.93%
02/10/19,97.15,-2.91%
02/12/19,104.81,0.44%
03/01/17,59.75,3.68%
03/01/18,75.3,0.27%
03/01/19,88,0.11%
03/01/20,113.8,-0.39%
03/02/17,63.09,0.70%
03/02/20,110.42,1.40%
03/03/17,64.6,1.73%
03/03/20,101.75,-1.20%
03/04/17,63.08,0.48%
03/04/18,81.75,-0.12%
03/04/19,91.16,-0.73%
03/04/20,66.9,-3.92%
03/05/17,63.96,-0.93%
03/05/18,80.49,-1.49%
03/05/19,92.6,0.56%
03/06/19,93.48,-0.12%
03/06/20,89.37,1.81%
03/07/17,61.09,0.26%
03/07/18,71.1,1.14%
03/07/19,98.32,1.60%
03/07/20,93.19,0.75%
03/08/17,64.45,-0.72%
03/08/18,78.66,2.22%
