Data,Último
04/01/10,4.44
05/01/10,4.47
06/01/10,4.52
07/01/10,4.54
08/01/10,4.53
11/01/10,4.47
12/01/10,4.5
13/01/10,4.56
14/01/10,4.63
15/01/10,4.62
18/01/10,4.62
19/01/10,4.63
20/01/10,4.52
21/01/10,4.56
22/01/10,4.62
26/01/10,4.54
27/01/10,4.49
28/01/10,4.5
29/01/10,4.36
01/02/10,4.4
02/02/10,4.51
03/02/10,4.58
04/02/10,4.39
05/02/10,4.23
08/02/10,4.18
09/02/10,4.17
10/02/10,4.2
11/02/10,4.3
12/02/10,4.27
17/02/10,4.48
18/02/10,4.45
19/02/10,4.47
22/02/10,4.45
23/02/10,4.33
24/02/10,4.32
25/02/10,4.37
26/02/10,4.33
01/03/10,4.38
02/03/10,4.36
03/03/10,4.37
04/03/10,4.33
05/03/10,4.27
08/03/10,4.29
09/03/10,4.25
10/03/10,4.28
11/03/10,4.3
12/03/10,4.27
15/03/10,4.26
16/03/10,4.27
17/03/10,4.28
18/03/10,4.29
19/03/10,4.17
22/03/10,4.18
23/03/10,4.16
24/03/10,4.13
25/03/10,4.18
26/03/10,4.17
29/03/10,4.14
30/03/10,4.18
31/03/10,4.05
01/04/10,4.06
05/04/10,4.14
06/04/10,4.11
07/04/10,4.14
08/04/10,4.15
09/04/10,4.15
12/04/10,4.18
13/04/10,4.23
14/04/10,4.26
15/04/10,4.34
16/04/10,4.29
19/04/10,4.26
20/04/10,4.26
22/04/10,4.32
23/04/10,4.4
26/04/10,4.47
27/04/10,4.27
28/04/10,4.2
29/04/10,4.28
30/04/10,4.32
03/05/10,4.29
04/05/10,4.29
05/05/10,4.32
06/05/10,4.33
07/05/10,4.37
10/05/10,4.39
11/05/10,4.4
12/05/10,4.43
13/05/10,4.4
14/05/10,4.37
17/05/10,4.43
18/05/10,4.37
19/05/10,4.34
20/05/10,4.24
21/05/10,4.22
24/05/10,4.34
25/05/10,4.31
26/05/10,4.11
27/05/10,4.35
28/05/10,4.37
31/05/10,4.32
01/06/10,4.36
02/06/10,4.48
04/06/10,4.52
07/06/10,4.56
08/06/10,4.52
09/06/10,4.57
10/06/10,4.58
11/06/10,4.56
14/06/10,4.58
15/06/10,4.66
16/06/10,4.7
17/06/10,4.73
18/06/10,4.69
21/06/10,4.74
22/06/10,4.82
23/06/10,4.76
24/06/10,4.67
25/06/10,4.7
28/06/10,4.84
29/06/10,4.67
30/06/10,4.58
01/07/10,4.51
02/07/10,4.54
05/07/10,4.49
06/07/10,4.6
07/07/10,4.63
08/07/10,4.7
12/07/10,4.66
13/07/10,4.67
14/07/10,4.69
15/07/10,4.7
16/07/10,4.73
19/07/10,4.8
20/07/10,4.81
21/07/10,4.76
22/07/10,4.86
23/07/10,4.79
26/07/10,4.76
27/07/10,4.78
28/07/10,4.79
29/07/10,4.79
30/07/10,4.79
02/08/10,4.82
03/08/10,4.79
04/08/10,4.77
05/08/10,4.73
06/08/10,4.69
09/08/10,4.69
10/08/10,4.66
11/08/10,4.61
12/08/10,4.64
13/08/10,4.61
16/08/10,4.71
17/08/10,4.81
18/08/10,4.81
19/08/10,4.86
20/08/10,4.86
23/08/10,4.79
24/08/10,4.76
25/08/10,4.7
26/08/10,4.7
27/08/10,4.79
30/08/10,4.77
31/08/10,4.9
01/09/10,4.93
02/09/10,4.84
03/09/10,4.87
06/09/10,4.82
08/09/10,4.93
09/09/10,4.93
10/09/10,4.87
13/09/10,4.99
14/09/10,5.05
15/09/10,5.18
16/09/10,5.18
17/09/10,5.12
20/09/10,5.17
21/09/10,5.05
22/09/10,5.12
23/09/10,5.14
24/09/10,5.09
27/09/10,5.15
28/09/10,5.18
29/09/10,5.22
30/09/10,5.16
01/10/10,5.37
04/10/10,5.4
05/10/10,5.51
06/10/10,5.49
07/10/10,5.53
08/10/10,5.65
11/10/10,5.62
13/10/10,5.8
14/10/10,5.82
15/10/10,5.84
18/10/10,5.89
19/10/10,5.82
20/10/10,5.85
21/10/10,5.91
22/10/10,6.09
25/10/10,5.97
26/10/10,5.82
27/10/10,5.67
28/10/10,5.67
29/10/10,5.77
01/11/10,5.9
03/11/10,5.81
04/11/10,5.85
05/11/10,5.89
08/11/10,5.96
09/11/10,5.82
10/11/10,5.75
11/11/10,5.74
12/11/10,5.75
16/11/10,5.76
17/11/10,5.92
18/11/10,6.09
19/11/10,6.17
22/11/10,6.26
23/11/10,6.12
24/11/10,6.13
25/11/10,6.15
26/11/10,6.12
29/11/10,5.98
30/11/10,5.94
01/12/10,6
02/12/10,6.04
03/12/10,6.14
06/12/10,6.15
07/12/10,6.06
08/12/10,6.12
09/12/10,6.06
10/12/10,6.15
13/12/10,6.16
14/12/10,6.15
15/12/10,6.25
16/12/10,6.28
17/12/10,6.28
20/12/10,6.34
21/12/10,6.47
22/12/10,6.49
23/12/10,6.57
27/12/10,6.52
28/12/10,6.52
29/12/10,6.55
30/12/10,6.58
03/01/11,6.6
04/01/11,6.6
05/01/11,6.47
06/01/11,6.41
07/01/11,6.39
10/01/11,6.37
11/01/11,6.38
12/01/11,6.18
13/01/11,6.13
14/01/11,6.02
17/01/11,6.16
18/01/11,5.91
19/01/11,5.95
20/01/11,5.91
21/01/11,5.76
24/01/11,5.86
26/01/11,5.97
27/01/11,5.94
28/01/11,5.75
31/01/11,5.76
01/02/11,5.72
02/02/11,5.71
03/02/11,5.62
04/02/11,5.57
07/02/11,5.62
08/02/11,5.7
09/02/11,5.56
10/02/11,5.41
11/02/11,5.64
14/02/11,5.67
15/02/11,5.7
