Data,Último
04/01/10,8.85
05/01/10,8.89
06/01/10,9.22
07/01/10,9.44
08/01/10,9.22
11/01/10,9.3
12/01/10,9.21
13/01/10,9.36
14/01/10,9.36
15/01/10,9.31
18/01/10,9.25
19/01/10,9.23
20/01/10,9.08
21/01/10,8.66
22/01/10,8.63
26/01/10,8.49
27/01/10,8.34
28/01/10,8.61
29/01/10,8.7
01/02/10,8.85
02/02/10,8.87
03/02/10,8.84
04/02/10,8.2
05/02/10,7.8
08/02/10,7.96
09/02/10,8.3
10/02/10,8.33
11/02/10,8.41
12/02/10,8.23
17/02/10,8.48
18/02/10,8.5
19/02/10,8.69
22/02/10,8.7
23/02/10,8.44
24/02/10,7.99
25/02/10,7.83
26/02/10,8.09
01/03/10,8.1
02/03/10,8.16
03/03/10,8.14
04/03/10,8.19
05/03/10,8.24
08/03/10,8.06
09/03/10,8.11
10/03/10,8.21
11/03/10,8.15
12/03/10,8.06
15/03/10,7.97
16/03/10,7.92
17/03/10,7.73
18/03/10,7.92
19/03/10,7.84
22/03/10,7.95
23/03/10,8.03
24/03/10,7.88
25/03/10,7.86
26/03/10,7.86
29/03/10,8.14
30/03/10,8.14
31/03/10,8.26
01/04/10,8.39
05/04/10,8.47
06/04/10,8.61
07/04/10,8.45
08/04/10,8.64
09/04/10,8.51
12/04/10,8.39
13/04/10,8.28
14/04/10,8.23
15/04/10,8.12
16/04/10,7.97
19/04/10,7.94
20/04/10,8.11
22/04/10,8.05
23/04/10,8.03
26/04/10,8.02
27/04/10,7.75
28/04/10,7.68
29/04/10,7.95
30/04/10,7.89
03/05/10,7.84
04/05/10,7.41
05/05/10,7.49
06/05/10,7.28
07/05/10,7.17
10/05/10,7.87
11/05/10,7.42
12/05/10,7.98
13/05/10,8.16
14/05/10,8.03
17/05/10,8.18
18/05/10,7.93
19/05/10,7.5
20/05/10,7.42
21/05/10,7.71
24/05/10,7.76
25/05/10,7.66
26/05/10,8.51
27/05/10,8.32
28/05/10,8.48
31/05/10,8.46
01/06/10,8.28
02/06/10,8.31
04/06/10,8.19
07/06/10,8.18
08/06/10,8.27
09/06/10,8.18
10/06/10,8.36
11/06/10,8.37
14/06/10,8.31
15/06/10,8.37
16/06/10,8.42
17/06/10,8.54
18/06/10,8.51
21/06/10,8.53
22/06/10,8.45
23/06/10,8.76
24/06/10,8.63
25/06/10,8.88
28/06/10,8.65
29/06/10,8.29
30/06/10,8.09
01/07/10,7.92
02/07/10,7.85
05/07/10,7.75
06/07/10,7.77
07/07/10,8.02
08/07/10,8.18
12/07/10,8.26
13/07/10,8.37
14/07/10,8.16
15/07/10,8.37
16/07/10,8.2
19/07/10,8.26
20/07/10,8.31
21/07/10,8.35
22/07/10,8.44
23/07/10,8.62
26/07/10,8.65
27/07/10,8.74
28/07/10,8.92
29/07/10,8.97
30/07/10,9.04
02/08/10,9.18
03/08/10,9.11
04/08/10,9.22
05/08/10,9.29
06/08/10,9.34
09/08/10,9.39
10/08/10,9.17
11/08/10,9
12/08/10,8.89
13/08/10,8.86
16/08/10,8.97
17/08/10,9.13
18/08/10,9.24
19/08/10,9.32
20/08/10,9.06
23/08/10,8.87
24/08/10,8.74
25/08/10,8.91
26/08/10,8.8
27/08/10,9.12
30/08/10,8.85
31/08/10,9.02
01/09/10,9.23
02/09/10,9.16
03/09/10,9.23
06/09/10,9.3
08/09/10,9.61
09/09/10,9.78
10/09/10,9.83
13/09/10,10.09
14/09/10,10.04
15/09/10,10.16
16/09/10,9.99
17/09/10,9.76
20/09/10,9.94
21/09/10,10.11
22/09/10,10.35
23/09/10,10.49
24/09/10,9.99
27/09/10,10.05
28/09/10,10.21
29/09/10,10.05
30/09/10,9.97
01/10/10,9.89
04/10/10,9.92
05/10/10,10.28
06/10/10,10.07
07/10/10,10.02
08/10/10,10.26
11/10/10,10.6
13/10/10,11
14/10/10,10.61
15/10/10,10.67
18/10/10,10.22
19/10/10,9.9
20/10/10,9.92
21/10/10,9.6
22/10/10,9.75
25/10/10,9.75
26/10/10,9.96
27/10/10,10.09
28/10/10,9.95
29/10/10,10.04
01/11/10,10.18
03/11/10,10.17
04/11/10,10.21
05/11/10,10.11
08/11/10,9.9
09/11/10,9.64
10/11/10,9.32
11/11/10,9.37
12/11/10,9.42
16/11/10,9.31
17/11/10,9.65
18/11/10,9.88
19/11/10,9.88
22/11/10,9.59
23/11/10,9.64
24/11/10,9.91
25/11/10,9.81
26/11/10,9.72
29/11/10,9.61
30/11/10,9.27
01/12/10,9.5
02/12/10,9.5
03/12/10,9.62
06/12/10,9.52
07/12/10,9.44
08/12/10,9.15
09/12/10,9.08
10/12/10,8.92
13/12/10,9.08
14/12/10,9.03
15/12/10,9.1
16/12/10,9.06
17/12/10,9.21
20/12/10,9.11
21/12/10,8.95
22/12/10,9.07
23/12/10,9.06
27/12/10,9.02
28/12/10,9.13
29/12/10,9.24
30/12/10,9.34
03/01/11,9.54
04/01/11,9.56
05/01/11,9.34
06/01/11,9.48
07/01/11,9.24
10/01/11,9.29
11/01/11,8.97
12/01/11,8.99
13/01/11,8.72
14/01/11,8.82
17/01/11,8.86
18/01/11,8.7
19/01/11,8.57
20/01/11,8.5
21/01/11,8.53
24/01/11,8.7
26/01/11,8.65
27/01/11,8.57
28/01/11,8.45
31/01/11,8.29
01/02/11,8.46
02/02/11,8.43
03/02/11,8.34
04/02/11,8.02
07/02/11,7.83
08/02/11,7.97
09/02/11,8.25
10/02/11,8.27
11/02/11,8.45
14/02/11,8.55
15/02/11,8.15
16/02/11,8.3
17/02/11,8.47
18/02/11,8.32
21/02/11,8.1
22/02/11,7.85
23/02/11,7.9
24/02/11,8.01
25/02/11,8.06
28/02/11,8.07
01/03/11,7.9
02/03/11,8.09
03/03/11,8.27
04/03/11,8.22
09/03/11,8.24
10/03/11,8.04
11/03/11,7.92
14/03/11,8
15/03/11,7.99
16/03/11,8.01
17/03/11,8.04
18/03/11,8.24
21/03/11,8.07
22/03/11,7.99
23/03/11,7.99
24/03/11,7.94
25/03/11,7.95
28/03/11,7.92
29/03/11,8.18
30/03/11,8.46
31/03/11,8.45
01/04/11,8.77
04/04/11,8.69
05/04/11,8.87
06/04/11,8.66
07/04/11,8.72
08/04/11,8.69
11/04/11,8.49
12/04/11,8.37
13/04/11,8.18
14/04/11,8.21
15/04/11,8.27
18/04/11,8.25
19/04/11,8.39
20/04/11,8.4
25/04/11,8.47
26/04/11,8.49
27/04/11,8.49
28/04/11,8.44
29/04/11,8.42
02/05/11,8.38
03/05/11,8.31
04/05/11,8.35
05/05/11,8.36
06/05/11,8.62
09/05/11,8.73
10/05/11,8.82
11/05/11,8.57
12/05/11,8.49
13/05/11,8.38
16/05/11,8.35
17/05/11,8.25
18/05/11,8.06
19/05/11,7.99
20/05/11,8
23/05/11,7.99
24/05/11,8.01
25/05/11,8.07
26/05/11,8.03
27/05/11,8.12
30/05/11,8.09
31/05/11,8.22
01/06/11,8.02
02/06/11,8.13
03/06/11,8.22
06/06/11,8.07
07/06/11,8.02
08/06/11,8.09
09/06/11,8.28
10/06/11,8.2
13/06/11,8.12
14/06/11,8.08
15/06/11,7.75
16/06/11,7.61
17/06/11,7.91
20/06/11,7.67
21/06/11,7.69
22/06/11,7.63
24/06/11,7.56
27/06/11,7.48
28/06/11,7.77
29/06/11,7.66
30/06/11,7.56
01/07/11,7.96
04/07/11,7.9
05/07/11,7.72
06/07/11,7.66
07/07/11,7.77
08/07/11,7.66
11/07/11,7.41
12/07/11,7.16
13/07/11,7.32
14/07/11,7.06
15/07/11,7.15
18/07/11,6.98
19/07/11,6.96
20/07/11,7.05
21/07/11,7.3
22/07/11,7.21
25/07/11,7.19
26/07/11,6.99
27/07/11,6.61
28/07/11,6.51
29/07/11,6.64
01/08/11,6.56
02/08/11,6.37
03/08/11,6.13
04/08/11,5.71
05/08/11,6.05
08/08/11,5.82
09/08/11,6.15
10/08/11,6.4
11/08/11,6.59
12/08/11,6.62
15/08/11,6.56
16/08/11,6.59
17/08/11,6.77
18/08/11,6.51
19/08/11,6.37
22/08/11,6.48
23/08/11,6.55
24/08/11,6.67
25/08/11,6.4
26/08/11,6.4
29/08/11,6.69
30/08/11,6.73
31/08/11,6.92
01/09/11,7.5
02/09/11,7.2
05/09/11,6.96
06/09/11,6.92
08/09/11,7.18
09/09/11,6.83
12/09/11,6.68
13/09/11,6.63
14/09/11,6.78
15/09/11,6.8
16/09/11,6.94
19/09/11,6.88
20/09/11,6.95
21/09/11,6.95
22/09/11,6.52
23/09/11,6.83
26/09/11,6.86
27/09/11,6.75
28/09/11,6.58
29/09/11,6.57
30/09/11,6.52
03/10/11,6.38
04/10/11,6.42
05/10/11,6.53
06/10/11,6.88
07/10/11,6.85
10/10/11,7.07
11/10/11,7.32
13/10/11,7.35
14/10/11,7.32
17/10/11,7.22
18/10/11,7.34
19/10/11,7.32
20/10/11,7.12
21/10/11,7.32
24/10/11,7.46
25/10/11,7.38
26/10/11,7.43
27/10/11,7.71
28/10/11,7.77
31/10/11,7.61
01/11/11,7.48
03/11/11,7.48
04/11/11,7.48
07/11/11,7.56
08/11/11,7.61
09/11/11,7.67
10/11/11,7.52
11/11/11,7.68
14/11/11,7.6
16/11/11,7.78
17/11/11,7.95
18/11/11,7.94
21/11/11,7.59
22/11/11,7.43
23/11/11,7.21
24/11/11,7.2
25/11/11,7.11
28/11/11,7.09
29/11/11,7.13
30/11/11,7.42
01/12/11,7.91
02/12/11,7.92
05/12/11,7.96
06/12/11,7.86
07/12/11,7.66
08/12/11,7.44
09/12/11,7.58
12/12/11,7.43
13/12/11,7.48
14/12/11,7.43
15/12/11,7.51
16/12/11,7.43
19/12/11,7.33
20/12/11,7.54
21/12/11,7.51
22/12/11,7.6
23/12/11,7.59
26/12/11,7.57
27/12/11,7.6
28/12/11,7.39
29/12/11,7.36
02/01/12,7.32
03/01/12,7.45
04/01/12,7.58
05/01/12,7.5
06/01/12,7.61
09/01/12,7.73
10/01/12,7.89
11/01/12,7.81
12/01/12,7.66
13/01/12,7.59
16/01/12,7.59
17/01/12,7.6
18/01/12,7.81
19/01/12,7.77
20/01/12,7.81
23/01/12,7.82
24/01/12,7.81
26/01/12,8.02
27/01/12,8.17
30/01/12,8.24
31/01/12,8.25
01/02/12,8.66
02/02/12,8.77
03/02/12,8.89
06/02/12,8.89
07/02/12,8.94
08/02/12,9.07
09/02/12,8.92
10/02/12,8.71
13/02/12,9.13
14/02/12,9.24
15/02/12,9.04
16/02/12,8.83
17/02/12,8.83
22/02/12,8.85
23/02/12,8.75
24/02/12,8.8
27/02/12,8.74
28/02/12,8.93
29/02/12,8.62
01/03/12,8.78
02/03/12,9.03
05/03/12,9.01
06/03/12,8.78
07/03/12,9.04
08/03/12,9.22
09/03/12,9.39
12/03/12,9.38
13/03/12,9.5
14/03/12,9.38
15/03/12,9.19
16/03/12,9.13
