Data,Último
04/01/10,16.33
05/01/10,16.17
06/01/10,16.19
07/01/10,16.19
08/01/10,16.29
11/01/10,16.41
12/01/10,16.28
13/01/10,16.48
14/01/10,16.25
15/01/10,15.97
18/01/10,15.98
19/01/10,16.25
20/01/10,15.76
21/01/10,15.51
22/01/10,15.59
26/01/10,15.17
27/01/10,15.05
28/01/10,15.07
29/01/10,15.35
01/02/10,16.38
02/02/10,16.71
03/02/10,16.3
04/02/10,16
05/02/10,15.24
08/02/10,15.43
09/02/10,16.2
10/02/10,16.6
11/02/10,16.94
12/02/10,16.66
17/02/10,16.59
18/02/10,16.74
19/02/10,16.77
22/02/10,16.71
23/02/10,16.48
24/02/10,16.63
25/02/10,16.38
26/02/10,16.51
01/03/10,16.64
02/03/10,16.43
03/03/10,16.31
04/03/10,16.3
05/03/10,16.53
08/03/10,16.29
09/03/10,16.58
10/03/10,16.75
11/03/10,16.73
12/03/10,16.58
15/03/10,16.64
16/03/10,16.78
17/03/10,16.69
18/03/10,16.55
19/03/10,16.36
22/03/10,16.43
23/03/10,16.36
24/03/10,16.36
25/03/10,16.42
26/03/10,16.5
29/03/10,16.61
30/03/10,16.59
31/03/10,16.67
01/04/10,16.64
05/04/10,16.75
06/04/10,16.77
07/04/10,16.74
08/04/10,17.18
09/04/10,17.31
12/04/10,17.36
13/04/10,17.23
14/04/10,17.06
15/04/10,17.25
16/04/10,17.03
19/04/10,16.83
20/04/10,16.72
22/04/10,16.57
23/04/10,16.67
26/04/10,16.65
27/04/10,16.11
28/04/10,16.44
29/04/10,16.75
30/04/10,16.74
03/05/10,16.48
04/05/10,15.67
05/05/10,15.76
06/05/10,15.52
07/05/10,15.42
10/05/10,15.91
11/05/10,15.58
12/05/10,15.56
13/05/10,15.36
14/05/10,14.88
17/05/10,15.19
18/05/10,15.01
19/05/10,14.49
20/05/10,14.13
21/05/10,14.62
24/05/10,14.49
25/05/10,14.46
26/05/10,14.62
27/05/10,14.99
28/05/10,14.67
31/05/10,14.72
01/06/10,14.54
02/06/10,15.13
04/06/10,15.2
07/06/10,14.96
08/06/10,15.04
09/06/10,14.87
10/06/10,15.16
11/06/10,15.24
14/06/10,15.58
15/06/10,15.42
16/06/10,15.52
17/06/10,15.43
18/06/10,15.42
21/06/10,15.97
22/06/10,16.01
23/06/10,15.7
24/06/10,15.51
25/06/10,15.35
28/06/10,15.07
29/06/10,14.45
30/06/10,13.97
01/07/10,14.82
02/07/10,15.01
05/07/10,14.9
06/07/10,15.27
07/07/10,15.72
08/07/10,15.69
12/07/10,15.74
13/07/10,16.11
14/07/10,16.03
15/07/10,16.28
16/07/10,15.81
19/07/10,15.98
20/07/10,15.92
21/07/10,16.01
22/07/10,16.48
23/07/10,16.7
26/07/10,16.46
27/07/10,16.26
28/07/10,16.94
29/07/10,16.94
30/07/10,17.3
02/08/10,17.26
03/08/10,16.77
04/08/10,16.6
05/08/10,17
06/08/10,17.19
09/08/10,17.39
10/08/10,17.17
11/08/10,16.83
12/08/10,17.2
13/08/10,17.25
16/08/10,17.17
17/08/10,17.08
18/08/10,16.95
19/08/10,16.65
20/08/10,16.9
23/08/10,16.77
24/08/10,16.53
25/08/10,16.53
26/08/10,16.08
27/08/10,16.11
30/08/10,15.79
31/08/10,16.24
01/09/10,16.79
02/09/10,16.51
03/09/10,16.25
06/09/10,16.1
08/09/10,16.12
09/09/10,16.12
10/09/10,15.97
13/09/10,16.54
14/09/10,16.74
15/09/10,16.89
16/09/10,16.82
17/09/10,16.63
20/09/10,16.99
21/09/10,17.11
22/09/10,17.34
23/09/10,17.79
24/09/10,17.41
27/09/10,17.76
28/09/10,17.82
29/09/10,18.15
30/09/10,18.47
01/10/10,18.81
04/10/10,18.9
05/10/10,19.06
06/10/10,18.99
07/10/10,18.74
08/10/10,19.11
11/10/10,19.2
13/10/10,20.03
14/10/10,19.73
15/10/10,20
18/10/10,19.83
19/10/10,19.49
20/10/10,19.77
21/10/10,19.26
22/10/10,19.29
25/10/10,19.4
26/10/10,19.6
27/10/10,19.45
28/10/10,19.17
29/10/10,19.02
01/11/10,19.36
03/11/10,19.6
04/11/10,20.1
05/11/10,20.02
08/11/10,19.93
09/11/10,19.45
10/11/10,19.43
11/11/10,19.38
12/11/10,19.45
16/11/10,19.48
17/11/10,19.43
18/11/10,19.68
19/11/10,19.71
22/11/10,19.43
23/11/10,18.62
24/11/10,18.88
25/11/10,18.98
26/11/10,18.99
29/11/10,19.14
30/11/10,18.98
01/12/10,19.48
02/12/10,19.32
03/12/10,18.81
06/12/10,18.43
07/12/10,18.39
08/12/10,18.12
09/12/10,17.89
10/12/10,17.8
13/12/10,17.99
14/12/10,17.98
15/12/10,17.91
16/12/10,17.74
17/12/10,17.67
20/12/10,17.34
21/12/10,17.63
22/12/10,17.83
23/12/10,18.05
27/12/10,17.94
28/12/10,17.9
29/12/10,18.03
30/12/10,18.27
03/01/11,18.26
04/01/11,18.33
05/01/11,18.6
06/01/11,18.43
07/01/11,18
10/01/11,18.03
11/01/11,18.24
12/01/11,18.56
13/01/11,18.37
14/01/11,18.47
17/01/11,18.26
18/01/11,18.35
19/01/11,18.08
20/01/11,17.96
21/01/11,17.88
24/01/11,18.04
26/01/11,18.03
27/01/11,18.03
28/01/11,17.65
31/01/11,17.3
01/02/11,17.39
02/02/11,17.2
03/02/11,17.01
04/02/11,16.34
07/02/11,16.44
08/02/11,16.75
09/02/11,16.33
10/02/11,16.42
11/02/11,17.2
14/02/11,17.31
15/02/11,17.68
16/02/11,18.28
17/02/11,18.16
18/02/11,18.11
21/02/11,17.83
22/02/11,17.25
23/02/11,17.28
24/02/11,17.22
25/02/11,17.14
28/02/11,17.48
01/03/11,17.01
02/03/11,17.15
03/03/11,17.36
04/03/11,17.41
09/03/11,16.96
10/03/11,16.46
11/03/11,16.56
14/03/11,16.75
15/03/11,16.94
16/03/11,16.54
17/03/11,16.51
18/03/11,16.75
21/03/11,16.77
22/03/11,17.04
23/03/11,17.1
24/03/11,17.02
25/03/11,16.93
28/03/11,16.82
29/03/11,16.73
30/03/11,17.09
31/03/11,17.52
01/04/11,17.77
04/04/11,17.73
05/04/11,17.63
06/04/11,17.67
07/04/11,17.64
08/04/11,17.43
11/04/11,17.19
