Data,Último
04/01/10,69.37
05/01/10,69.9
06/01/10,70.3
07/01/10,70
08/01/10,69.48
11/01/10,69.99
12/01/10,69.7
13/01/10,70
14/01/10,69.5
15/01/10,68.5
18/01/10,68.9
19/01/10,68.12
20/01/10,67.7
21/01/10,65.9
22/01/10,65.59
26/01/10,64.98
27/01/10,64.9
28/01/10,65.2
29/01/10,64.9
01/02/10,66.05
02/02/10,66.7
03/02/10,66.59
04/02/10,63.4
05/02/10,62
08/02/10,62.6
09/02/10,64.09
10/02/10,64.55
11/02/10,65.6
12/02/10,65.6
17/02/10,66.94
18/02/10,67.6
19/02/10,67.4
22/02/10,67
23/02/10,66
24/02/10,65.6
25/02/10,66
26/02/10,66.5
01/03/10,67.2
02/03/10,67.14
03/03/10,67.4
04/03/10,67.3
05/03/10,68.5
08/03/10,67.84
09/03/10,69.2
10/03/10,69.7
11/03/10,69.5
12/03/10,68.9
15/03/10,68.5
16/03/10,69.5
17/03/10,69.3
18/03/10,69.2
19/03/10,68.5
22/03/10,68.45
23/03/10,68.89
24/03/10,68.28
25/03/10,67.7
26/03/10,68.3
29/03/10,69.5
30/03/10,69.5
31/03/10,70
01/04/10,70.6
05/04/10,70.75
06/04/10,70.45
07/04/10,70.15
08/04/10,71.3
09/04/10,71
12/04/10,70.1
13/04/10,70.25
14/04/10,70.45
15/04/10,69.78
16/04/10,68.84
19/04/10,68.5
20/04/10,68.7
22/04/10,68.8
23/04/10,68.95
26/04/10,68.33
27/04/10,66
28/04/10,66.01
29/04/10,67.45
30/04/10,66.92
03/05/10,66.8
04/05/10,64.3
05/05/10,64.8
06/05/10,63.2
07/05/10,62.5
10/05/10,65.35
11/05/10,63.23
12/05/10,64.9
13/05/10,64.34
14/05/10,62.9
17/05/10,62.4
18/05/10,60.45
19/05/10,59.19
20/05/10,57.98
21/05/10,60.2
24/05/10,59.2
25/05/10,58.7
26/05/10,59.84
27/05/10,61.7
28/05/10,61.4
31/05/10,62.42
01/06/10,61.6
02/06/10,62.7
04/06/10,61.12
07/06/10,60.45
08/06/10,61.3
09/06/10,61
10/06/10,62.5
11/06/10,63.2
14/06/10,62.87
15/06/10,64.01
16/06/10,64.2
17/06/10,64.1
18/06/10,64.2
21/06/10,64.4
22/06/10,64.35
23/06/10,64.8
24/06/10,63.6
25/06/10,64.45
28/06/10,63.85
29/06/10,61.63
30/06/10,60.37
01/07/10,60.62
02/07/10,60.9
05/07/10,60.39
06/07/10,61.6
07/07/10,62.8
08/07/10,63.1
12/07/10,62.5
13/07/10,63.25
14/07/10,63.05
15/07/10,63.05
16/07/10,61.85
19/07/10,62.8
20/07/10,63.8
21/07/10,63.9
22/07/10,65.3
23/07/10,65.99
26/07/10,65.99
27/07/10,66.13
28/07/10,66.19
29/07/10,66.5
30/07/10,66.87
02/08/10,68.31
03/08/10,67.63
04/08/10,67.7
05/08/10,68.05
06/08/10,67.7
09/08/10,67.3
10/08/10,66.8
11/08/10,65.1
12/08/10,65.49
13/08/10,65.5
16/08/10,66.12
17/08/10,67.15
18/08/10,66.98
19/08/10,66.4
20/08/10,66.2
23/08/10,65.32
24/08/10,64.8
25/08/10,64.49
26/08/10,63.34
27/08/10,65.15
30/08/10,63.73
31/08/10,64.5
01/09/10,66.28
02/09/10,66.3
03/09/10,66
06/09/10,66.1
08/09/10,65.8
09/09/10,66
10/09/10,66.19
13/09/10,67.36
14/09/10,66.97
15/09/10,67.6
16/09/10,67.2
17/09/10,66.6
20/09/10,67.35
21/09/10,67.5
22/09/10,67.9
23/09/10,68.28
24/09/10,67.85
27/09/10,68.11
28/09/10,68.65
29/09/10,68.8
30/09/10,68.7
01/10/10,69.77
04/10/10,69.85
05/10/10,70.56
06/10/10,69.86
07/10/10,69.3
08/10/10,70.15
11/10/10,70.25
13/10/10,70.89
14/10/10,71.07
15/10/10,71.21
18/10/10,71.1
19/10/10,69.26
20/10/10,69.8
21/10/10,69.1
22/10/10,68.72
25/10/10,69.1
26/10/10,70.15
27/10/10,70
28/10/10,70.03
29/10/10,70.2
01/11/10,71
03/11/10,71.3
04/11/10,72.4
05/11/10,71.9
08/11/10,72.01
09/11/10,70.91
10/11/10,71.07
11/11/10,70.39
12/11/10,69.64
16/11/10,68.28
17/11/10,69.49
18/11/10,70
19/11/10,70.3
22/11/10,68.99
23/11/10,67.34
24/11/10,68.99
25/11/10,68.53
26/11/10,67.6
29/11/10,67.33
30/11/10,67
01/12/10,68.75
02/12/10,68.77
03/12/10,69.11
06/12/10,68.6
07/12/10,68.8
08/12/10,67.35
09/12/10,67.22
10/12/10,67.89
13/12/10,68.7
14/12/10,68.09
15/12/10,66.9
16/12/10,66.45
17/12/10,67.26
20/12/10,66.7
21/12/10,67.9
22/12/10,67.62
23/12/10,68
27/12/10,67.2
28/12/10,67.38
29/12/10,68.35
30/12/10,68.53
03/01/11,69.24
04/01/11,69.7
05/01/11,70.25
06/01/11,69.65
07/01/11,69.33
10/01/11,69.31
11/01/11,69.7
12/01/11,71
13/01/11,69.99
14/01/11,70.25
17/01/11,70.04
18/01/11,70.21
19/01/11,69.3
20/01/11,68.75
21/01/11,68.35
24/01/11,68.74
26/01/11,67.95
27/01/11,67.3
28/01/11,65.94
31/01/11,65.78
01/02/11,67.24
02/02/11,65.97
03/02/11,66.05
04/02/11,64.53
07/02/11,64.68
08/02/11,64.85
09/02/11,63.34
10/02/11,63.85
11/02/11,64.91
14/02/11,65.83
15/02/11,65.57
16/02/11,66.55
17/02/11,66.88
18/02/11,67.5
21/02/11,66.55
22/02/11,65.67
23/02/11,66.2
24/02/11,66.34
25/02/11,66.2
28/02/11,66.75
01/03/11,65.75
02/03/11,66.53
03/03/11,67.45
04/03/11,67.47
09/03/11,66.51
10/03/11,65.25
11/03/11,65.93
14/03/11,66.4
15/03/11,66.36
16/03/11,65.1
17/03/11,65.29
18/03/11,66.17
21/03/11,65.88
22/03/11,66.67
23/03/11,66.95
24/03/11,66.75
25/03/11,66.91
28/03/11,66.39
29/03/11,66.6
30/03/11,67.21
31/03/11,67.55
01/04/11,68.49
04/04/11,68.91
05/04/11,68.92
06/04/11,68.21
07/04/11,68.24
08/04/11,67.93
11/04/11,67.29
12/04/11,66.1
13/04/11,65.75
14/04/11,65.5
15/04/11,65.87
18/04/11,64.75
19/04/11,65.24
20/04/11,66.25
25/04/11,66.11
26/04/11,66.16
27/04/11,65.4
28/04/11,64.87
29/04/11,65.2
02/05/11,64.79
03/05/11,63.49
04/05/11,62.9
05/05/11,62.68
06/05/11,63.68
09/05/11,63.8
10/05/11,64.01
11/05/11,62.95
12/05/11,63.28
13/05/11,62.4
16/05/11,61.99
17/05/11,62.81
18/05/11,62.11
19/05/11,61.47
20/05/11,61.74
