Data,Último
04/01/10,12.02
05/01/10,12.1
06/01/10,11.99
07/01/10,11.87
08/01/10,11.69
11/01/10,11.59
12/01/10,11.48
13/01/10,11.52
14/01/10,11.36
15/01/10,11.16
18/01/10,11.26
19/01/10,11.23
20/01/10,10.94
21/01/10,10.74
22/01/10,10.86
26/01/10,10.89
27/01/10,10.73
28/01/10,11.05
29/01/10,10.82
01/02/10,11.03
02/02/10,11.18
03/02/10,11.13
04/02/10,10.7
05/02/10,10.43
08/02/10,10.4
09/02/10,10.86
10/02/10,10.92
11/02/10,11.11
12/02/10,11.11
17/02/10,11.35
18/02/10,11.39
19/02/10,11.21
22/02/10,11.09
23/02/10,10.9
24/02/10,10.78
25/02/10,10.78
26/02/10,11.05
01/03/10,11.07
02/03/10,11.25
03/03/10,11.25
04/03/10,11.24
05/03/10,11.3
08/03/10,11.29
09/03/10,11.43
10/03/10,11.48
11/03/10,11.51
12/03/10,11.32
15/03/10,11.39
16/03/10,11.46
17/03/10,11.36
18/03/10,11.27
19/03/10,11.22
22/03/10,11.39
23/03/10,11.29
24/03/10,11.06
25/03/10,11.19
26/03/10,11.39
29/03/10,11.56
30/03/10,11.68
31/03/10,11.81
01/04/10,11.88
05/04/10,11.95
06/04/10,11.8
07/04/10,11.69
08/04/10,12.11
09/04/10,12.15
12/04/10,11.98
13/04/10,11.95
14/04/10,12.01
15/04/10,11.99
16/04/10,11.62
19/04/10,11.49
20/04/10,11.59
22/04/10,11.48
23/04/10,11.5
26/04/10,11.35
27/04/10,10.97
28/04/10,11.25
29/04/10,11.45
30/04/10,11.42
03/05/10,11.46
04/05/10,11.15
05/05/10,11.12
06/05/10,10.98
07/05/10,10.95
10/05/10,11.42
11/05/10,11.27
12/05/10,11.24
13/05/10,11.08
14/05/10,10.9
17/05/10,10.88
18/05/10,10.6
19/05/10,10.06
20/05/10,9.96
21/05/10,10.15
24/05/10,9.98
25/05/10,9.73
26/05/10,10.06
27/05/10,10.24
28/05/10,10.18
31/05/10,10.52
01/06/10,10.31
02/06/10,10.6
04/06/10,10.38
07/06/10,10.07
08/06/10,10.25
09/06/10,10.16
10/06/10,10.43
11/06/10,10.58
14/06/10,10.41
15/06/10,10.67
16/06/10,10.7
17/06/10,10.65
18/06/10,10.7
21/06/10,10.75
22/06/10,10.7
23/06/10,10.75
24/06/10,10.41
25/06/10,10.49
28/06/10,10.46
29/06/10,10.03
30/06/10,9.85
01/07/10,10.31
02/07/10,10.41
05/07/10,10.15
06/07/10,10.4
07/07/10,11.01
08/07/10,11.25
12/07/10,11.29
13/07/10,11.33
14/07/10,11.25
15/07/10,11.22
16/07/10,10.94
19/07/10,11.19
20/07/10,11.29
21/07/10,11.25
22/07/10,11.56
23/07/10,11.68
26/07/10,11.7
27/07/10,11.68
28/07/10,11.95
29/07/10,11.96
30/07/10,12.01
02/08/10,12.05
03/08/10,11.68
04/08/10,11.48
05/08/10,11.5
06/08/10,11.63
09/08/10,11.68
10/08/10,11.63
11/08/10,11.44
12/08/10,11.5
13/08/10,11.51
16/08/10,11.57
17/08/10,11.65
18/08/10,11.62
19/08/10,11.48
20/08/10,11.46
23/08/10,11.38
24/08/10,11.18
25/08/10,11.18
26/08/10,10.9
27/08/10,11.36
30/08/10,11.22
31/08/10,11.55
01/09/10,11.7
02/09/10,11.58
03/09/10,11.56
06/09/10,11.45
08/09/10,11.44
09/09/10,11.38
10/09/10,11.36
13/09/10,11.76
14/09/10,11.93
15/09/10,12
16/09/10,11.88
17/09/10,11.82
20/09/10,11.91
21/09/10,11.73
22/09/10,11.81
23/09/10,11.9
24/09/10,11.81
27/09/10,11.82
28/09/10,11.93
29/09/10,12.14
30/09/10,12.36
01/10/10,12.47
04/10/10,12.48
05/10/10,12.79
06/10/10,12.68
07/10/10,12.7
08/10/10,12.98
11/10/10,12.88
13/10/10,13.03
14/10/10,12.94
15/10/10,13.07
18/10/10,13.14
19/10/10,12.88
20/10/10,13
21/10/10,12.84
22/10/10,12.95
25/10/10,12.99
26/10/10,12.95
27/10/10,12.69
28/10/10,12.57
29/10/10,12.68
01/11/10,12.92
03/11/10,12.88
04/11/10,13.22
05/11/10,13.29
08/11/10,13.3
09/11/10,12.95
10/11/10,13.1
11/11/10,12.84
12/11/10,12.84
16/11/10,12.58
17/11/10,12.56
18/11/10,12.69
19/11/10,12.81
22/11/10,12.62
23/11/10,12.28
24/11/10,12.39
25/11/10,12.37
26/11/10,12.26
29/11/10,12.1
30/11/10,12
01/12/10,12.23
02/12/10,12.27
03/12/10,12.08
06/12/10,11.97
07/12/10,12.01
08/12/10,11.9
09/12/10,11.74
10/12/10,11.74
13/12/10,11.77
14/12/10,11.82
15/12/10,11.75
16/12/10,11.66
17/12/10,11.77
20/12/10,11.51
21/12/10,11.78
22/12/10,12.05
23/12/10,12.02
27/12/10,11.82
28/12/10,11.81
29/12/10,12.07
30/12/10,12.16
03/01/11,12.2
04/01/11,12.3
05/01/11,12.48
06/01/11,12.19
07/01/11,11.89
10/01/11,11.99
11/01/11,12.06
12/01/11,12.38
13/01/11,12.11
14/01/11,12.18
17/01/11,12.01
18/01/11,11.85
19/01/11,11.72
20/01/11,11.44
21/01/11,11.44
24/01/11,11.52
26/01/11,11.36
27/01/11,11.41
28/01/11,11.16
31/01/11,10.94
01/02/11,11.1
02/02/11,11
03/02/11,10.89
04/02/11,10.58
07/02/11,10.69
08/02/11,11.01
09/02/11,10.75
10/02/11,10.69
11/02/11,11.11
14/02/11,11.19
15/02/11,11.39
16/02/11,11.64
17/02/11,11.75
18/02/11,11.7
21/02/11,11.52
22/02/11,11.27
23/02/11,11.32
24/02/11,11.22
25/02/11,11.17
28/02/11,11.38
01/03/11,11.14
02/03/11,11.18
03/03/11,11.45
04/03/11,11.49
09/03/11,11.26
10/03/11,10.82
11/03/11,11.09
14/03/11,11.14
15/03/11,11.28
16/03/11,11.01
17/03/11,10.95
18/03/11,11.18
21/03/11,11.19
22/03/11,11.55
23/03/11,11.43
24/03/11,11.45
25/03/11,11.45
28/03/11,11.45
29/03/11,11.37
30/03/11,11.69
31/03/11,12.09
01/04/11,12.08
04/04/11,11.97
05/04/11,11.98
06/04/11,11.94
07/04/11,11.96
08/04/11,11.71
11/04/11,11.62
12/04/11,11.56
13/04/11,11.57
14/04/11,11.46
15/04/11,11.5
18/04/11,11.41
19/04/11,11.59
20/04/11,11.78
25/04/11,11.74
26/04/11,11.87
27/04/11,11.71
28/04/11,11.39
29/04/11,11.54
02/05/11,11.37
03/05/11,10.98
04/05/11,11
05/05/11,11.12
06/05/11,11.38
09/05/11,11.42
10/05/11,11.63
11/05/11,11.46
12/05/11,11.4
13/05/11,11.11
16/05/11,11
17/05/11,11.04
18/05/11,10.79
19/05/11,10.77
20/05/11,10.75
23/05/11,10.7
24/05/11,10.92
25/05/11,10.81
26/05/11,11.16
27/05/11,11.1
30/05/11,11.06
31/05/11,11.15
01/06/11,11.02
02/06/11,11.13
03/06/11,11.15
06/06/11,10.9
07/06/11,11.06
08/06/11,11.01
09/06/11,10.92
10/06/11,10.86
13/06/11,10.83
14/06/11,10.97
15/06/11,11.08
16/06/11,11.01
17/06/11,10.89
20/06/11,10.95
21/06/11,10.87
22/06/11,10.95
24/06/11,10.89
27/06/11,10.89
28/06/11,11.22
29/06/11,11.32
30/06/11,11.34
01/07/11,11.35
04/07/11,11.45
05/07/11,11.44
06/07/11,11.27
07/07/11,11.03
08/07/11,10.8
11/07/11,10.4
12/07/11,10.13
13/07/11,10.2
14/07/11,9.89
15/07/11,9.86
18/07/11,9.77
19/07/11,10.01
20/07/11,10.08
21/07/11,10.22
22/07/11,10.22
25/07/11,10.01
26/07/11,9.83
27/07/11,9.64
28/07/11,9.66
29/07/11,9.79
01/08/11,9.78
02/08/11,9.21
03/08/11,9.01
04/08/11,8.73
05/08/11,8.81
08/08/11,7.96
09/08/11,8.5
10/08/11,8.3
11/08/11,8.58
12/08/11,8.74
15/08/11,8.93
16/08/11,8.81
17/08/11,9.07
18/08/11,8.71
19/08/11,8.38
22/08/11,8.27
23/08/11,8.33
24/08/11,8.29
25/08/11,8.36
26/08/11,8.57
29/08/11,8.7
30/08/11,8.87
31/08/11,9.07
01/09/11,9.69
02/09/11,9.44
05/09/11,9.06
06/09/11,9.22
08/09/11,9.33
09/09/11,9.06
12/09/11,8.9
13/09/11,8.82
14/09/11,8.9
15/09/11,9.05
16/09/11,9.22
19/09/11,9.14
20/09/11,9.11
21/09/11,9.09
22/09/11,8.73
23/09/11,8.63
26/09/11,8.82
27/09/11,9.18
28/09/11,9.16
29/09/11,9.22
30/09/11,9.14
03/10/11,9.02
04/10/11,8.91
05/10/11,9.06
06/10/11,9.24
07/10/11,9.12
10/10/11,9.48
11/10/11,9.66
13/10/11,9.77
14/10/11,9.88
17/10/11,9.85
18/10/11,9.88
19/10/11,10.07
20/10/11,9.95
21/10/11,10.14
24/10/11,10.37
25/10/11,10.08
26/10/11,10.26
27/10/11,10.57
28/10/11,10.42
31/10/11,10.3
01/11/11,10.12
03/11/11,10.23
04/11/11,10.27
07/11/11,10.26
08/11/11,10.25
09/11/11,9.99
10/11/11,9.89
11/11/11,10.03
14/11/11,10.05
16/11/11,10.12
17/11/11,9.74
18/11/11,9.59
21/11/11,9.45
22/11/11,9.42
23/11/11,9.31
24/11/11,9.35
25/11/11,9.29
28/11/11,9.55
29/11/11,9.48
30/11/11,10.04
01/12/11,10.44
02/12/11,10.48
05/12/11,10.65
06/12/11,10.69
07/12/11,10.68
08/12/11,10.66
09/12/11,10.77
12/12/11,10.65
13/12/11,10.63
14/12/11,10.55
15/12/11,10.39
16/12/11,10.46
19/12/11,10.39
20/12/11,10.65
21/12/11,10.65
22/12/11,10.84
23/12/11,10.93
26/12/11,10.87
27/12/11,10.9
28/12/11,10.65
29/12/11,10.8
02/01/12,10.81
03/01/12,11.08
04/01/12,11.1
05/01/12,11.01
06/01/12,11.1
09/01/12,11.17
10/01/12,11.31
11/01/12,11.33
12/01/12,11.35
13/01/12,11.28
16/01/12,11.36
17/01/12,11.42
18/01/12,11.67
19/01/12,11.74
20/01/12,11.79
23/01/12,11.57
24/01/12,11.36
26/01/12,11.53
27/01/12,11.47
30/01/12,11.28
31/01/12,11.16
01/02/12,11.35
02/02/12,11.35
03/02/12,11.39
06/02/12,11.46
07/02/12,11.57
08/02/12,11.82
09/02/12,11.74
10/02/12,11.54
13/02/12,11.9
14/02/12,11.75
15/02/12,11.57
16/02/12,11.6
17/02/12,11.65
22/02/12,11.55
23/02/12,11.47
24/02/12,11.44
27/02/12,11.32
28/02/12,11.63
29/02/12,11.7
01/03/12,11.96
02/03/12,12.13
05/03/12,11.95
06/03/12,11.55
07/03/12,11.79
08/03/12,12.16
09/03/12,12.36
12/03/12,12.16
13/03/12,12.3
14/03/12,12.35
15/03/12,12.37
16/03/12,12.41
19/03/12,12.38
20/03/12,12.2
21/03/12,12.13
22/03/12,11.79
23/03/12,11.68
26/03/12,11.88
27/03/12,11.89
28/03/12,11.58
29/03/12,11.46
30/03/12,11.23
02/04/12,11.36
03/04/12,11.18
04/04/12,10.84
05/04/12,10.62
09/04/12,10.46
10/04/12,10.25
11/04/12,10.22
12/04/12,10.61
13/04/12,10.19
16/04/12,10.12
17/04/12,10.14
18/04/12,10.07
19/04/12,10.15
20/04/12,10.37
23/04/12,10.23
24/04/12,10.12
25/04/12,9.52
26/04/12,9.53
27/04/12,9.56
30/04/12,9.65
02/05/12,9.41
03/05/12,9.4
04/05/12,9.27
07/05/12,9.34
08/05/12,9.35
09/05/12,9.21
10/05/12,9.22
11/05/12,9.34
14/05/12,9.14
15/05/12,9.17
16/05/12,8.95
17/05/12,8.71
18/05/12,8.75
21/05/12,9.23
22/05/12,9.19
23/05/12,9.18
24/05/12,9.05
25/05/12,9.16
28/05/12,9.19
29/05/12,9.1
30/05/12,9.05
31/05/12,9.43
01/06/12,9.21
04/06/12,9.07
05/06/12,8.93
06/06/12,9.3
08/06/12,9.25
11/06/12,9.34
12/06/12,9.5
13/06/12,9.52
14/06/12,9.52
15/06/12,9.73
18/06/12,9.66
19/06/12,9.82
20/06/12,9.68
21/06/12,9.3
22/06/12,9.11
25/06/12,8.76
26/06/12,8.75
27/06/12,8.86
28/06/12,8.78
29/06/12,9.11
02/07/12,9.15
03/07/12,9.33
04/07/12,9.38
05/07/12,9.49
06/07/12,9.43
10/07/12,9
11/07/12,9.04
12/07/12,9.14
13/07/12,9.39
16/07/12,9.38
17/07/12,9.31
18/07/12,9.54
19/07/12,9.72
20/07/12,9.68
23/07/12,9.41
24/07/12,9.73
25/07/12,9.8
26/07/12,10.07
27/07/12,10.44
30/07/12,10.73
31/07/12,10.46
01/08/12,10.39
02/08/12,10.21
03/08/12,10.52
06/08/12,10.76
07/08/12,10.86
08/08/12,11.11
09/08/12,11
10/08/12,11.12
13/08/12,11.04
14/08/12,10.96
15/08/12,11.01
16/08/12,11.23
17/08/12,11.27
20/08/12,11.17
21/08/12,11.11
22/08/12,11.15
23/08/12,11.07
24/08/12,11.06
27/08/12,10.89
28/08/12,10.89
29/08/12,10.63
30/08/12,10.57
31/08/12,10.31
03/09/12,10.43
04/09/12,10.22
05/09/12,10.25
06/09/12,10.54
10/09/12,10.6
11/09/12,10.72
12/09/12,11
13/09/12,11.23
14/09/12,11.36
17/09/12,11.23
18/09/12,10.96
19/09/12,10.96
20/09/12,10.88
21/09/12,10.95
24/09/12,10.98
25/09/12,10.32
26/09/12,10.38
27/09/12,10.25
28/09/12,9.95
01/10/12,10.11
02/10/12,10.06
03/10/12,9.93
04/10/12,9.94
05/10/12,10.02
08/10/12,10.05
09/10/12,9.8
10/10/12,9.57
11/10/12,9.65
15/10/12,9.7
16/10/12,9.74
17/10/12,9.73
18/10/12,9.71
19/10/12,9.6
22/10/12,9.55
23/10/12,9.25
24/10/12,9.63
25/10/12,9.77
26/10/12,9.63
29/10/12,9.64
30/10/12,9.75
31/10/12,9.67
01/11/12,10.1
05/11/12,10.09
06/11/12,10.18
07/11/12,9.93
08/11/12,9.71
09/11/12,9.71
12/11/12,9.71
13/11/12,9.88
14/11/12,9.75
16/11/12,9.78
19/11/12,10.09
21/11/12,10.21
22/11/12,10.33
23/11/12,10.45
26/11/12,10.26
27/11/12,10.1
28/11/12,10.15
29/11/12,10.4
30/11/12,10.47
03/12/12,10.75
04/12/12,10.64
05/12/12,10.69
06/12/12,10.66
07/12/12,10.67
10/12/12,10.68
11/12/12,10.75
12/12/12,10.71
13/12/12,10.71
14/12/12,10.62
17/12/12,10.66
18/12/12,10.72
19/12/12,11.09
20/12/12,11.05
21/12/12,11.21
26/12/12,11.09
27/12/12,10.91
28/12/12,10.98
02/01/13,11.34
03/01/13,11.68
04/01/13,11.58
07/01/13,11.42
08/01/13,11.46
09/01/13,11.65
10/01/13,11.5
11/01/13,11.53
14/01/13,11.67
15/01/13,11.52
16/01/13,11.63
17/01/13,11.82
18/01/13,11.86
21/01/13,11.78
22/01/13,11.91
23/01/13,11.74
24/01/13,11.76
28/01/13,11.45
29/01/13,11.43
30/01/13,11.21
31/01/13,11.3
01/02/13,11.24
04/02/13,10.98
05/02/13,11.25
06/02/13,11.02
07/02/13,10.95
08/02/13,11.15
13/02/13,11.12
14/02/13,11.06
15/02/13,11.58
18/02/13,11.7
19/02/13,11.47
20/02/13,11.27
21/02/13,11.19
22/02/13,11.55
25/02/13,11.58
26/02/13,11.36
27/02/13,11.41
28/02/13,11.54
01/03/13,11.59
