Data,Último
04/01/10,29.41
05/01/10,29.16
06/01/10,29.55
07/01/10,29.28
08/01/10,29.12
11/01/10,29.03
12/01/10,28.66
13/01/10,28.61
14/01/10,28.11
15/01/10,28.17
18/01/10,28.81
19/01/10,28.67
20/01/10,27.94
21/01/10,27.06
22/01/10,27.39
26/01/10,26.72
27/01/10,26.88
28/01/10,27.28
29/01/10,26.93
01/02/10,27.03
02/02/10,26.87
03/02/10,26.83
04/02/10,25.46
05/02/10,24.84
08/02/10,25.01
09/02/10,25.41
10/02/10,25.72
11/02/10,26.29
12/02/10,26.64
17/02/10,26.99
18/02/10,27.34
19/02/10,27.07
22/02/10,27.31
23/02/10,26.95
24/02/10,26.75
25/02/10,27.09
26/02/10,27.28
01/03/10,27.53
02/03/10,27.68
03/03/10,27.7
04/03/10,27.74
05/03/10,28.22
08/03/10,28.14
09/03/10,28.77
10/03/10,29.16
11/03/10,29.2
12/03/10,29.21
15/03/10,28.98
16/03/10,29.33
17/03/10,29.28
18/03/10,29.18
19/03/10,28.55
22/03/10,28.56
23/03/10,28.23
24/03/10,28.44
25/03/10,27.74
26/03/10,27.19
29/03/10,27.5
30/03/10,27.43
31/03/10,27.89
01/04/10,28.17
05/04/10,28.38
06/04/10,28.43
07/04/10,28.21
08/04/10,28.22
09/04/10,27.76
12/04/10,27.1
13/04/10,26.95
14/04/10,26.99
15/04/10,26.48
16/04/10,25.97
19/04/10,26.44
20/04/10,27.03
22/04/10,26.69
23/04/10,26.99
26/04/10,26.44
27/04/10,25.48
28/04/10,25.71
29/04/10,26.21
30/04/10,26.04
03/05/10,25.01
04/05/10,24.17
05/05/10,23.98
06/05/10,23.67
07/05/10,23.62
10/05/10,23.94
11/05/10,23.52
12/05/10,23.74
13/05/10,23.82
14/05/10,23.89
17/05/10,23.7
18/05/10,23.2
19/05/10,22.67
20/05/10,21.78
21/05/10,21.9
24/05/10,21.71
25/05/10,21.23
26/05/10,21.63
27/05/10,22.24
28/05/10,22.55
31/05/10,23.67
01/06/10,22.91
02/06/10,23.27
04/06/10,23.39
07/06/10,23.61
08/06/10,23.72
09/06/10,23.63
10/06/10,23.91
11/06/10,23.69
14/06/10,23.23
15/06/10,23.19
16/06/10,23.71
17/06/10,23.61
18/06/10,23.58
21/06/10,23.51
22/06/10,23.28
23/06/10,22.79
24/06/10,21.98
25/06/10,22.32
28/06/10,21.93
29/06/10,21.46
30/06/10,21.48
01/07/10,21.15
02/07/10,21.41
05/07/10,21.22
06/07/10,21.63
07/07/10,21.91
08/07/10,22.06
12/07/10,21.78
13/07/10,21.83
14/07/10,21.83
15/07/10,21.68
16/07/10,21.46
19/07/10,21.55
20/07/10,22.11
21/07/10,21.99
22/07/10,22.38
23/07/10,22.22
26/07/10,22.31
27/07/10,22.38
28/07/10,22.23
29/07/10,22.18
30/07/10,22.27
02/08/10,22.91
03/08/10,23.42
04/08/10,23.63
05/08/10,23.71
06/08/10,23.43
09/08/10,23.22
10/08/10,22.88
11/08/10,22.15
12/08/10,22.17
13/08/10,22.28
16/08/10,22.24
17/08/10,22.8
18/08/10,22.3
19/08/10,21.57
20/08/10,21.57
23/08/10,21.47
24/08/10,21.06
25/08/10,21.01
26/08/10,20.7
27/08/10,21.39
30/08/10,20.5
31/08/10,20.99
01/09/10,21.77
02/09/10,22.23
03/09/10,23.2
06/09/10,23.43
08/09/10,22.42
09/09/10,22.23
10/09/10,22.17
13/09/10,22.8
14/09/10,21.63
15/09/10,21.3
16/09/10,21.23
17/09/10,21.3
20/09/10,21.83
21/09/10,21.22
22/09/10,20.93
23/09/10,21.59
24/09/10,21.18
27/09/10,21.35
28/09/10,21.51
29/09/10,22.15
30/09/10,21.98
01/10/10,22.15
04/10/10,22.05
05/10/10,21.73
06/10/10,20.83
07/10/10,20.38
08/10/10,20.94
11/10/10,20.82
13/10/10,20.71
14/10/10,21.3
15/10/10,21.18
18/10/10,21.26
19/10/10,20.36
20/10/10,20.13
21/10/10,19.46
22/10/10,19.5
25/10/10,19.79
26/10/10,20.82
27/10/10,21.1
28/10/10,21.15
29/10/10,20.82
01/11/10,21.34
03/11/10,21.86
04/11/10,22.27
05/11/10,22.07
08/11/10,22.29
09/11/10,21.96
10/11/10,21.97
11/11/10,21.64
12/11/10,20.93
16/11/10,20.57
17/11/10,20.61
18/11/10,20.97
19/11/10,20.81
22/11/10,20.29
23/11/10,19.96
24/11/10,20.44
25/11/10,20.12
26/11/10,19.92
29/11/10,20
30/11/10,19.91
01/12/10,20.45
02/12/10,20.57
03/12/10,20.81
06/12/10,20.94
07/12/10,20.53
08/12/10,20.24
09/12/10,20.57
10/12/10,20.81
13/12/10,20.98
14/12/10,20.92
15/12/10,20.54
16/12/10,20.53
17/12/10,21.01
20/12/10,20.71
21/12/10,20.87
22/12/10,20.99
23/12/10,21.01
27/12/10,21.26
28/12/10,21.76
29/12/10,22.01
30/12/10,22.27
03/01/11,22.03
04/01/11,21.95
05/01/11,22.21
06/01/11,22.12
07/01/11,21.81
10/01/11,22.02
11/01/11,22.16
12/01/11,22.77
13/01/11,22.29
14/01/11,22.48
17/01/11,22.4
18/01/11,22.62
19/01/11,22.28
20/01/11,22.25
21/01/11,22.08
24/01/11,22.03
26/01/11,21.9
27/01/11,21.93
28/01/11,21.77
31/01/11,22.11
01/02/11,22.56
02/02/11,22.69
03/02/11,22.88
04/02/11,22.54
07/02/11,22.21
08/02/11,22
09/02/11,21.37
10/02/11,21.44
11/02/11,21.54
14/02/11,21.83
15/02/11,22.01
16/02/11,22.29
17/02/11,22.24
18/02/11,22.34
21/02/11,22.36
22/02/11,22.66
23/02/11,23.43
24/02/11,23.15
25/02/11,23.34
28/02/11,23.32
01/03/11,23.09
02/03/11,23.59
03/03/11,23.63
04/03/11,23.73
09/03/11,23.3
10/03/11,22.95
11/03/11,22.99
14/03/11,23.08
15/03/11,22.88
16/03/11,22.67
17/03/11,22.92
18/03/11,22.77
21/03/11,22.96
22/03/11,23.26
23/03/11,23.5
24/03/11,23.34
25/03/11,23.52
28/03/11,23.28
29/03/11,23.28
30/03/11,23.29
31/03/11,23.41
01/04/11,23.6
04/04/11,23.49
05/04/11,23.29
06/04/11,23.13
07/04/11,22.99
08/04/11,23
11/04/11,22.57
12/04/11,21.88
13/04/11,21.47
14/04/11,21.33
15/04/11,21.78
18/04/11,20.93
19/04/11,21.13
20/04/11,21.59
25/04/11,21.5
26/04/11,21.51
27/04/11,21.13
28/04/11,20.9
29/04/11,21.12
02/05/11,21.23
03/05/11,21
04/05/11,20.89
05/05/11,20.19
06/05/11,19.98
09/05/11,20.3
10/05/11,20.36
11/05/11,19.81
12/05/11,19.7
13/05/11,19.57
16/05/11,19.92
17/05/11,20.3
18/05/11,20.05
19/05/11,19.67
20/05/11,19.96
23/05/11,19.64
24/05/11,19.84
25/05/11,19.89
26/05/11,20.13
27/05/11,20.21
30/05/11,20.03
31/05/11,20.04
01/06/11,19.97
02/06/11,19.93
03/06/11,19.79
06/06/11,19.3
07/06/11,19.14
08/06/11,19.3
09/06/11,19.72
10/06/11,19.74
13/06/11,19.41
14/06/11,19.64
15/06/11,19.39
16/06/11,19.38
17/06/11,19.34
20/06/11,19.22
21/06/11,19.34
22/06/11,19.35
24/06/11,19.03
27/06/11,19.2
28/06/11,19.51
29/06/11,19.45
30/06/11,19.74
01/07/11,19.76
04/07/11,19.8
05/07/11,19.6
06/07/11,19.56
07/07/11,19.66
08/07/11,19.5
11/07/11,19.26
12/07/11,19.24
13/07/11,19.46
14/07/11,19.09
15/07/11,19.13
18/07/11,18.94
19/07/11,18.85
20/07/11,18.62
21/07/11,19.14
22/07/11,19.11
25/07/11,19.55
26/07/11,19.69
27/07/11,19.63
28/07/11,19.55
29/07/11,19.55
01/08/11,19.55
02/08/11,19.28
03/08/11,18.71
04/08/11,17.33
05/08/11,16.94
08/08/11,15.65
09/08/11,16.07
10/08/11,16.56
11/08/11,16.96
12/08/11,17.04
15/08/11,17.62
16/08/11,17.42
17/08/11,17.52
18/08/11,17.04
19/08/11,16.53
22/08/11,16.49
23/08/11,16.92
24/08/11,16.98
25/08/11,16.67
26/08/11,16.7
29/08/11,17.2
30/08/11,17.25
