Data,Último
04/01/10,39.53
05/01/10,39.9
06/01/10,40.75
07/01/10,40.92
08/01/10,41.32
11/01/10,41.19
12/01/10,41.08
13/01/10,41.58
14/01/10,41.58
15/01/10,41.04
18/01/10,41.61
19/01/10,42.19
20/01/10,41.04
21/01/10,39.62
22/01/10,38.78
26/01/10,38
27/01/10,37.48
28/01/10,37.45
29/01/10,37.55
01/02/10,38.69
02/02/10,38.69
03/02/10,38.6
04/02/10,36.52
05/02/10,36.21
08/02/10,36.47
09/02/10,37.24
10/02/10,37.28
11/02/10,38.15
12/02/10,37.89
17/02/10,39.39
18/02/10,40.06
19/02/10,39.93
22/02/10,39.16
23/02/10,38.56
24/02/10,38.7
25/02/10,38.93
26/02/10,38.74
01/03/10,39.13
02/03/10,39.92
03/03/10,39.83
04/03/10,40.39
05/03/10,41.69
08/03/10,41.38
09/03/10,41.69
10/03/10,41.15
11/03/10,40.62
12/03/10,40.39
15/03/10,40.62
16/03/10,41.63
17/03/10,41.68
18/03/10,41.27
19/03/10,40.82
22/03/10,41.38
23/03/10,42.84
24/03/10,42.77
25/03/10,42.46
26/03/10,42.84
29/03/10,43.8
30/03/10,44.11
31/03/10,43.88
01/04/10,44.33
05/04/10,44.2
06/04/10,44.14
07/04/10,44.59
08/04/10,45.61
09/04/10,45.52
12/04/10,45.21
13/04/10,45.57
14/04/10,45.95
15/04/10,45.89
16/04/10,45.26
19/04/10,44.46
20/04/10,43.84
22/04/10,44
23/04/10,43.61
26/04/10,43.43
27/04/10,41.22
28/04/10,40.94
29/04/10,42.06
30/04/10,41.06
03/05/10,40.04
04/05/10,38.17
05/05/10,39.12
06/05/10,38.56
07/05/10,45.1
10/05/10,47.01
11/05/10,46.56
12/05/10,46.39
13/05/10,45.72
14/05/10,44.37
17/05/10,43.68
18/05/10,42.1
19/05/10,41.28
20/05/10,39.79
21/05/10,42.46
24/05/10,42.02
25/05/10,42.39
26/05/10,42.17
27/05/10,44.82
28/05/10,44.42
31/05/10,45.37
01/06/10,44.39
02/06/10,45.32
04/06/10,43.18
07/06/10,41.83
08/06/10,42.27
09/06/10,42.43
10/06/10,43.2
11/06/10,43.73
14/06/10,43.75
15/06/10,44.38
16/06/10,43.83
17/06/10,43.05
18/06/10,42.65
21/06/10,43.98
22/06/10,43.55
23/06/10,44.09
24/06/10,43.1
25/06/10,43.63
28/06/10,42.81
29/06/10,40.74
30/06/10,39.61
01/07/10,39.78
02/07/10,39.58
05/07/10,39.02
06/07/10,39.51
07/07/10,40.46
08/07/10,40.6
12/07/10,40
13/07/10,40.07
14/07/10,40.08
15/07/10,39.76
16/07/10,38.88
19/07/10,39.97
20/07/10,42.23
21/07/10,42.47
22/07/10,43.37
23/07/10,43.71
26/07/10,43.73
27/07/10,43.55
28/07/10,44.32
29/07/10,43.92
30/07/10,44.05
02/08/10,45.85
03/08/10,45.79
04/08/10,45.76
05/08/10,45.96
06/08/10,45.89
09/08/10,46.01
10/08/10,45.37
11/08/10,43.83
12/08/10,44.21
13/08/10,44.28
16/08/10,44.86
17/08/10,45.38
18/08/10,45.69
19/08/10,45.23
20/08/10,44.68
23/08/10,43.4
24/08/10,42.46
25/08/10,42.08
26/08/10,41.61
27/08/10,43.05
30/08/10,41.92
31/08/10,42.54
01/09/10,44.51
02/09/10,44.08
03/09/10,43.92
06/09/10,43.55
08/09/10,42.82
09/09/10,42.92
10/09/10,42.52
13/09/10,43.73
14/09/10,43.37
15/09/10,43.63
16/09/10,43.34
17/09/10,42.76
20/09/10,43.64
21/09/10,43.78
22/09/10,44.57
23/09/10,44.59
24/09/10,46.12
27/09/10,46.97
28/09/10,47.33
29/09/10,47.36
30/09/10,47.45
01/10/10,47.91
04/10/10,47.95
05/10/10,48.55
06/10/10,48.7
07/10/10,48.53
08/10/10,48.36
11/10/10,48.63
13/10/10,48.59
14/10/10,48.77
15/10/10,48.91
18/10/10,49.97
19/10/10,48.78
20/10/10,50.22
21/10/10,49.42
22/10/10,49.46
25/10/10,49.88
