Data,Último,Var%
02/01/17,19.2,-0.88%
03/01/17,20.01,4.22%
04/01/17,20.1,0.45%
05/01/17,20.37,1.34%
06/01/17,20.44,0.34%
09/01/17,20.54,0.49%
10/01/17,20.47,-0.34%
11/01/17,20.51,0.20%
12/01/17,21.03,2.54%
13/01/17,20.6,-2.04%
16/01/17,20.62,0.10%
17/01/17,21.17,2.67%
18/01/17,21.01,-0.76%
19/01/17,20.89,-0.57%
20/01/17,20.96,0.34%
23/01/17,21.66,3.34%
24/01/17,21.61,-0.23%
26/01/17,21.9,1.34%
27/01/17,21.79,-0.50%
30/01/17,21.32,-2.16%
31/01/17,21.32,0.00%
01/02/17,21.55,1.08%
02/02/17,21.49,-0.28%
03/02/17,21.93,2.05%
06/02/17,21.77,-0.73%
07/02/17,22.2,1.98%
08/02/17,22.77,2.57%
09/02/17,22.87,0.44%
10/02/17,22.95,0.35%
13/02/17,22.84,-0.48%
14/02/17,22.91,0.31%
15/02/17,23.88,4.23%
16/02/17,23.41,-1.97%
17/02/17,23.4,-0.04%
20/02/17,23.51,0.47%
21/02/17,23.85,1.45%
22/02/17,23.92,0.29%
23/02/17,23.56,-1.51%
24/02/17,23.37,-0.81%
01/03/17,23.33,-0.17%
02/03/17,23.09,-1.03%
03/03/17,23.52,1.86%
06/03/17,23.42,-0.43%
07/03/17,23.03,-1.67%
08/03/17,22.77,-1.13%
09/03/17,22.84,0.31%
10/03/17,22.85,0.04%
13/03/17,23.26,1.79%
14/03/17,23.04,-0.95%
15/03/17,23.26,0.95%
16/03/17,22.96,-1.29%
17/03/17,22.3,-2.87%
20/03/17,22.55,1.12%
21/03/17,22.06,-2.17%
22/03/17,22.24,0.82%
23/03/17,22.12,-0.54%
24/03/17,22.36,1.08%
27/03/17,22.52,0.72%
28/03/17,22.45,-0.31%
29/03/17,22.78,1.47%
30/03/17,22.51,-1.19%
31/03/17,22.14,-1.64%
03/04/17,22.51,1.67%
04/04/17,22.62,0.49%
05/04/17,22.21,-1.81%
06/04/17,22.03,-0.81%
07/04/17,22.2,0.77%
10/04/17,22.16,-0.18%
11/04/17,22.12,-0.18%
12/04/17,22.09,-0.14%
13/04/17,21.69,-1.81%
17/04/17,22.66,4.47%
18/04/17,22.58,-0.35%
19/04/17,22.38,-0.89%
20/04/17,22.05,-1.47%
24/04/17,22.48,1.95%
25/04/17,22.62,0.62%
26/04/17,22.67,0.22%
27/04/17,22.79,0.53%
28/04/17,22.94,0.66%
02/05/17,23.41,2.05%
03/05/17,23.03,-1.62%
04/05/17,22.27,-3.30%
05/05/17,22.62,1.57%
08/05/17,22.67,0.22%
09/05/17,22.73,0.26%
10/05/17,22.84,0.48%
11/05/17,23.24,1.75%
12/05/17,23.46,0.95%
15/05/17,23.56,0.43%
16/05/17,23.53,-0.13%
17/05/17,23.05,-2.04%
18/05/17,20.27,-12.06%
19/05/17,20.8,2.61%
22/05/17,20.39,-1.97%
23/05/17,20.71,1.57%
24/05/17,20.88,0.82%
25/05/17,20.49,-1.87%
26/05/17,21.04,2.68%
29/05/17,20.94,-0.48%
30/05/17,21,0.29%
31/05/17,20.78,-1.05%
01/06/17,20.54,-1.15%
02/06/17,20.75,1.02%
05/06/17,20.72,-0.14%
06/06/17,21.06,1.64%
07/06/17,21.4,1.61%
08/06/17,21.18,-1.03%
09/06/17,20.85,-1.56%
12/06/17,20.85,0.00%
13/06/17,21.1,1.20%
14/06/17,21.29,0.90%
16/06/17,21.14,-0.70%
19/06/17,21.25,0.52%
20/06/17,20.78,-2.21%
21/06/17,20.81,0.14%
22/06/17,20.82,0.05%
23/06/17,20.75,-0.34%
26/06/17,21.34,2.84%
27/06/17,21.15,-0.89%
28/06/17,21.14,-0.05%
29/06/17,21.35,0.99%
30/06/17,21.49,0.66%
03/07/17,21.69,0.93%
04/07/17,21.61,-0.37%
05/07/17,21.66,0.23%
06/07/17,21.36,-1.39%
07/07/17,21.15,-0.98%
10/07/17,21.32,0.80%
11/07/17,21.65,1.55%
12/07/17,21.88,1.06%
13/07/17,21.94,0.27%
14/07/17,21.99,0.23%
17/07/17,21.77,-1.00%
18/07/17,21.8,0.14%
19/07/17,21.48,-1.47%
20/07/17,21.51,0.14%
21/07/17,21.51,0.00%
24/07/17,21.65,0.65%
25/07/17,21.7,0.23%
26/07/17,21.6,-0.46%
27/07/17,21.62,0.09%
28/07/17,21.7,0.37%
31/07/17,21.83,0.60%
01/08/17,22.53,3.21%
02/08/17,22.77,1.07%
03/08/17,22.71,-0.26%
04/08/17,22.66,-0.22%
07/08/17,23.01,1.54%
08/08/17,23.29,1.22%
09/08/17,23.15,-0.60%
10/08/17,22.85,-1.30%
11/08/17,22.97,0.53%
14/08/17,23.39,1.83%
15/08/17,23.49,0.43%
16/08/17,23.53,0.17%
17/08/17,23.35,-0.76%
18/08/17,23.57,0.94%
21/08/17,23.4,-0.72%
22/08/17,23.89,2.09%
