Data,Último,Var%
02/01/17,14.06,-1.47%
03/01/17,14.87,5.76%
04/01/17,14.87,0.00%
05/01/17,15.11,1.61%
06/01/17,15.02,-0.60%
09/01/17,14.71,-2.06%
10/01/17,14.85,0.95%
11/01/17,15.02,1.14%
12/01/17,15.25,1.53%
13/01/17,15.04,-1.38%
16/01/17,15.11,0.47%
17/01/17,15.18,0.46%
18/01/17,15.15,-0.20%
19/01/17,15.13,-0.13%
20/01/17,15.35,1.45%
23/01/17,15.34,-0.07%
24/01/17,15.39,0.33%
26/01/17,15.16,-1.49%
27/01/17,14.99,-1.12%
30/01/17,14.24,-5.00%
31/01/17,14.41,1.19%
01/02/17,14.41,0.00%
02/02/17,14.28,-0.90%
03/02/17,14.72,3.08%
06/02/17,14.35,-2.51%
07/02/17,14.1,-1.74%
08/02/17,14.49,2.77%
09/02/17,14.44,-0.35%
10/02/17,14.95,3.53%
13/02/17,14.99,0.27%
14/02/17,15.18,1.27%
15/02/17,15.2,0.13%
16/02/17,15.22,0.13%
17/02/17,14.98,-1.58%
20/02/17,15.27,1.94%
21/02/17,15.44,1.11%
22/02/17,15.06,-2.46%
23/02/17,14.93,-0.86%
24/02/17,14.56,-2.48%
01/03/17,14.89,2.27%
02/03/17,14.5,-2.62%
03/03/17,14.7,1.38%
06/03/17,14.49,-1.43%
07/03/17,14.56,0.48%
08/03/17,13.96,-4.12%
09/03/17,13.91,-0.36%
10/03/17,13.73,-1.29%
13/03/17,13.79,0.44%
14/03/17,13.04,-5.44%
15/03/17,13.62,4.45%
16/03/17,13.15,-3.45%
17/03/17,12.62,-4.03%
20/03/17,13.05,3.41%
21/03/17,12.47,-4.44%
22/03/17,13.1,5.05%
23/03/17,13.02,-0.61%
24/03/17,12.93,-0.69%
27/03/17,13.21,2.17%
28/03/17,13.38,1.29%
29/03/17,13.86,3.59%
30/03/17,13.86,0.00%
31/03/17,13.9,0.29%
03/04/17,14.07,1.22%
04/04/17,14.25,1.28%
05/04/17,13.98,-1.89%
06/04/17,13.94,-0.29%
07/04/17,14.1,1.15%
10/04/17,14.33,1.63%
11/04/17,14.08,-1.74%
12/04/17,14.05,-0.21%
13/04/17,13.51,-3.84%
17/04/17,13.7,1.41%
18/04/17,13.53,-1.24%
19/04/17,13.05,-3.55%
20/04/17,13.32,2.07%
24/04/17,13.46,1.05%
25/04/17,13.76,2.23%
26/04/17,13.43,-2.40%
27/04/17,13.17,-1.94%
28/04/17,13.4,1.75%
02/05/17,13.42,0.15%
03/05/17,13.58,1.19%
04/05/17,13.05,-3.90%
05/05/17,13.63,4.44%
08/05/17,13.51,-0.88%
09/05/17,13.57,0.44%
10/05/17,14.13,4.13%
11/05/17,14.22,0.64%
12/05/17,14.82,4.22%
15/05/17,15.04,1.48%
16/05/17,15.06,0.13%
17/05/17,14.98,-0.53%
18/05/17,12.62,-15.75%
19/05/17,13.07,3.57%
22/05/17,12.86,-1.61%
23/05/17,12.94,0.62%
24/05/17,13.37,3.32%
25/05/17,13.18,-1.42%
26/05/17,13.12,-0.46%
29/05/17,13.02,-0.76%
30/05/17,12.82,-1.54%
31/05/17,12.43,-3.04%
01/06/17,12.3,-1.05%
02/06/17,12.52,1.79%
05/06/17,12.64,0.96%
06/06/17,12.64,0.00%
07/06/17,12.35,-2.29%
08/06/17,12.32,-0.24%
09/06/17,12.33,0.08%
12/06/17,12.38,0.41%
13/06/17,12.41,0.24%
14/06/17,12.11,-2.42%
16/06/17,11.78,-2.73%
19/06/17,11.79,0.08%
20/06/17,11.38,-3.48%
21/06/17,11.17,-1.85%
22/06/17,11.55,3.40%
23/06/17,11.45,-0.87%
26/06/17,11.77,2.79%
27/06/17,11.71,-0.51%
28/06/17,11.59,-1.02%
29/06/17,11.68,0.78%
30/06/17,11.87,1.63%
03/07/17,11.86,-0.08%
04/07/17,11.92,0.51%
05/07/17,11.71,-1.76%
06/07/17,11.68,-0.26%
07/07/17,11.45,-1.97%
10/07/17,11.49,0.35%
11/07/17,11.83,2.96%
12/07/17,12.41,4.90%
13/07/17,12.35,-0.48%
14/07/17,12.52,1.38%
17/07/17,12.37,-1.20%
18/07/17,12.41,0.32%
19/07/17,12.69,2.26%
20/07/17,12.57,-0.95%
21/07/17,12.17,-3.18%
24/07/17,12.36,1.56%
25/07/17,12.68,2.59%
26/07/17,12.45,-1.81%
27/07/17,12.47,0.16%
28/07/17,12.6,1.04%
31/07/17,12.75,1.19%
01/08/17,12.59,-1.25%
02/08/17,12.96,2.94%
03/08/17,12.77,-1.47%
04/08/17,12.86,0.70%
07/08/17,13,1.09%
08/08/17,12.94,-0.46%
09/08/17,12.97,0.23%
10/08/17,12.65,-2.47%
11/08/17,12.42,-1.82%
14/08/17,12.55,1.05%
15/08/17,12.62,0.56%
16/08/17,12.6,-0.16%
17/08/17,12.52,-0.63%
18/08/17,13.05,4.23%
21/08/17,12.8,-1.92%
22/08/17,13.23,3.36%
23/08/17,13.2,-0.23%
24/08/17,13.24,0.30%
25/08/17,13.32,0.60%
28/08/17,13.31,-0.08%
29/08/17,13.29,-0.15%
30/08/17,12.9,-2.93%
31/08/17,13.1,1.55%
01/09/17,13.45,2.67%
04/09/17,13.59,1.04%
05/09/17,13.82,1.69%
06/09/17,14.41,4.27%
08/09/17,14.11,-2.08%
11/09/17,14.38,1.91%
12/09/17,14.27,-0.76%
13/09/17,14.42,1.05%
14/09/17,14.43,0.07%
15/09/17,14.43,0.00%
18/09/17,14.43,0.00%
19/09/17,14.52,0.62%
20/09/17,15.22,4.82%
21/09/17,15.03,-1.25%
22/09/17,15.05,0.13%
25/09/17,15.2,1.00%
26/09/17,14.93,-1.78%
27/09/17,14.69,-1.61%
28/09/17,14.72,0.20%
29/09/17,14.68,-0.27%
02/10/17,14.77,0.61%
03/10/17,15.33,3.79%
04/10/17,15.02,-2.02%
05/10/17,15.25,1.53%
06/10/17,15.05,-1.31%
09/10/17,15.24,1.26%
10/10/17,15.53,1.90%
11/10/17,15.43,-0.64%
13/10/17,15.43,0.00%
16/10/17,15.46,0.19%
17/10/17,15.47,0.06%
18/10/17,15.5,0.19%
19/10/17,15.49,-0.06%
20/10/17,15.56,0.45%
23/10/17,15.54,-0.13%
24/10/17,15.84,1.93%
25/10/17,16.04,1.26%
26/10/17,16.05,0.06%
27/10/17,16.34,1.81%
30/10/17,16.1,-1.47%
31/10/17,16.09,-0.06%
01/11/17,16.21,0.75%
03/11/17,16.25,0.25%
06/11/17,16.72,2.89%
07/11/17,15.83,-5.32%
08/11/17,16.26,2.72%
09/11/17,16.04,-1.35%
10/11/17,16.04,0.00%
13/11/17,15.96,-0.50%
14/11/17,14.73,-7.71%
16/11/17,15.17,2.99%
17/11/17,15.37,1.32%
21/11/17,15.25,-0.78%
22/11/17,15.46,1.38%
23/11/17,15.53,0.45%
24/11/17,15.45,-0.52%
27/11/17,15.22,-1.49%
28/11/17,15.2,-0.13%
29/11/17,14.71,-3.22%
30/11/17,14.75,0.27%
01/12/17,14.98,1.56%
04/12/17,14.85,-0.87%
05/12/17,14.69,-1.08%
06/12/17,14.89,1.36%
07/12/17,14.64,-1.68%
08/12/17,14.73,0.61%
11/12/17,14.75,0.14%
12/12/17,14.86,0.75%
13/12/17,14.56,-2.02%
14/12/17,14.4,-1.10%
15/12/17,14.34,-0.42%
18/12/17,14.6,1.81%
19/12/17,14.52,-0.55%
20/12/17,14.62,0.69%
21/12/17,15.22,4.10%
22/12/17,15.11,-0.72%
26/12/17,15.32,1.39%
27/12/17,15.4,0.52%
28/12/17,15.45,0.32%
02/01/18,15.88,2.78%
03/01/18,16.02,0.88%
04/01/18,16.05,0.19%
05/01/18,16.15,0.62%
08/01/18,16.34,1.18%
09/01/18,16.34,0.00%
10/01/18,16.12,-1.35%
11/01/18,16.55,2.67%
12/01/18,16.6,0.30%
15/01/18,16.64,0.24%
16/01/18,16.93,1.74%
17/01/18,17.61,4.02%
18/01/18,17.48,-0.74%
19/01/18,17.52,0.23%
22/01/18,17.72,1.14%
23/01/18,17.55,-0.96%
24/01/18,18.55,5.70%
26/01/18,19.12,3.07%
29/01/18,19.04,-0.42%
30/01/18,18.7,-1.79%
31/01/18,18.9,1.07%
01/02/18,19.69,4.18%
02/02/18,19.16,-2.69%
05/02/18,18.27,-4.65%
06/02/18,19.18,4.98%
07/02/18,18.65,-2.76%
08/02/18,18.28,-1.98%
09/02/18,18.01,-1.48%
14/02/18,18.47,2.55%
15/02/18,18.61,0.76%
16/02/18,18.63,0.11%
19/02/18,19.23,3.22%
20/02/18,19.61,1.98%
21/02/18,19.43,-0.92%
22/02/18,19.9,2.42%
23/02/18,20.26,1.81%
26/02/18,20.65,1.92%
27/02/18,20.63,-0.10%
28/02/18,20.59,-0.19%
01/03/18,20.18,-1.99%
02/03/18,20.64,2.28%
05/03/18,21.22,2.81%
06/03/18,21.01,-0.99%
07/03/18,20.79,-1.05%
08/03/18,20.82,0.14%
09/03/18,21.48,3.17%
12/03/18,21.42,-0.28%
13/03/18,21.21,-0.98%
14/03/18,21.47,1.23%
15/03/18,20.44,-4.80%
16/03/18,20.56,0.59%
19/03/18,20.08,-2.33%
20/03/18,20.3,1.10%
21/03/18,21.15,4.19%
22/03/18,20.84,-1.47%
23/03/18,20.87,0.14%
26/03/18,21.13,1.25%
27/03/18,20.57,-2.65%
28/03/18,20.34,-1.12%
29/03/18,20.54,0.98%
02/04/18,20.05,-2.39%
03/04/18,19.87,-0.90%
04/04/18,19.55,-1.61%
