Data,Último,Var%
02/01/17,25.06,-2.41%
03/01/17,26.17,4.43%
04/01/17,25.7,-1.80%
05/01/17,26.68,3.81%
06/01/17,25.97,-2.66%
09/01/17,26.5,2.04%
10/01/17,28.54,7.70%
11/01/17,29.13,2.07%
12/01/17,30.07,3.23%
13/01/17,30.99,3.06%
16/01/17,31.82,2.68%
17/01/17,30.57,-3.93%
18/01/17,32.11,5.04%
19/01/17,31.47,-1.99%
20/01/17,32.1,2.00%
23/01/17,33.31,3.77%
24/01/17,34.13,2.46%
26/01/17,33.6,-1.55%
27/01/17,33.7,0.30%
30/01/17,32.25,-4.30%
31/01/17,32.18,-0.22%
01/02/17,32.89,2.21%
02/02/17,32.66,-0.70%
03/02/17,30.61,-6.28%
06/02/17,29.92,-2.25%
07/02/17,30.24,1.07%
08/02/17,30.59,1.16%
09/02/17,31.08,1.60%
10/02/17,32.8,5.53%
13/02/17,35.81,9.18%
14/02/17,34.4,-3.94%
15/02/17,33.82,-1.69%
16/02/17,33.77,-0.15%
17/02/17,34.07,0.89%
20/02/17,33.52,-1.61%
21/02/17,32.7,-2.45%
22/02/17,31.92,-2.39%
23/02/17,30.52,-4.39%
24/02/17,30.11,-1.34%
01/03/17,30.52,1.36%
02/03/17,28.95,-5.14%
03/03/17,29.28,1.14%
06/03/17,28.62,-2.25%
07/03/17,28.45,-0.59%
08/03/17,27.71,-2.60%
09/03/17,27.77,0.22%
10/03/17,27.28,-1.76%
13/03/17,28.53,4.58%
14/03/17,28.68,0.53%
15/03/17,30.66,6.90%
16/03/17,29.93,-2.38%
17/03/17,28.8,-3.78%
20/03/17,29.1,1.04%
21/03/17,26.72,-8.18%
22/03/17,27.05,1.24%
23/03/17,26.91,-0.52%
24/03/17,26.68,-0.85%
27/03/17,27.04,1.35%
28/03/17,27.43,1.44%
29/03/17,27.71,1.02%
30/03/17,27.7,-0.04%
31/03/17,27.41,-1.05%
03/04/17,27.15,-0.95%
04/04/17,28.2,3.87%
05/04/17,27.1,-3.90%
06/04/17,26.6,-1.85%
07/04/17,26.82,0.83%
10/04/17,26.71,-0.41%
11/04/17,26.37,-1.27%
12/04/17,25.23,-4.32%
13/04/17,25.23,0.00%
17/04/17,25.24,0.04%
18/04/17,24.48,-3.01%
19/04/17,24.54,0.25%
20/04/17,25.81,5.18%
24/04/17,26.1,1.12%
25/04/17,26.96,3.30%
26/04/17,26.37,-2.19%
27/04/17,25.51,-3.26%
28/04/17,26.12,2.39%
02/05/17,26.68,2.14%
03/05/17,25.03,-6.18%
04/05/17,24.1,-3.72%
05/05/17,24.77,2.78%
08/05/17,24.75,-0.08%
09/05/17,25.2,1.82%
10/05/17,25.25,0.20%
11/05/17,25.03,-0.87%
12/05/17,24.64,-1.56%
15/05/17,25.34,2.84%
16/05/17,25.92,2.29%
17/05/17,25.52,-1.54%
18/05/17,25.54,0.08%
19/05/17,25.91,1.45%
22/05/17,26.55,2.47%
23/05/17,26.87,1.21%
24/05/17,26.17,-2.61%
25/05/17,26.34,0.65%
26/05/17,26.49,0.57%
29/05/17,26.68,0.72%
30/05/17,27.19,1.91%
31/05/17,25.83,-5.00%
01/06/17,25.36,-1.82%
02/06/17,25.46,0.39%
05/06/17,25.19,-1.06%
06/06/17,25.27,0.32%
07/06/17,25.15,-0.47%
08/06/17,25.69,2.15%
09/06/17,25.96,1.05%
12/06/17,25.52,-1.69%
13/06/17,25.07,-1.76%
14/06/17,24.82,-1.00%
16/06/17,24.3,-2.10%
19/06/17,25.09,3.25%
20/06/17,24.45,-2.55%
21/06/17,25.17,2.94%
22/06/17,25.69,2.07%
23/06/17,25.9,0.82%
26/06/17,26.12,0.85%
27/06/17,26.55,1.65%
